%   Sat Jul 01 2017 11:04:20 GMT-0300 (-03)
%   Banco de dados para suplementos retirados do Mercado Livre
%
%   Creators:
%       Danilo de Moraes Costa
%       Lucas de Almeida Carotta
%

@relation Sumplementos

@attribute Preco_original       NUMERIC
@attribute Preco_de_venda       NUMERIC
@attribute Quantidade_vendida   NUMERIC
@attribute Marca                STRING
@attribute Produtos             {whey, bcaa, termogenico, glutamina, creatina, caixa barra de proteina}

@data
279.9, 279.9, 241, Optimum Nutrition, whey
69.99, 69.99, 114, Profit Labs, whey
38.9, 38.9, 55, Atlhetica Nutrition, whey
84, 84, 136, Max Titanium, whey
129.9, 129.9, 32, Integralmedica, whey
1249, 1249, 33, Optimum Nutrition, whey
59.9, 59.9, 104, Integralmedica, whey
119.4, 119.4, 3, GoldsNutrition, whey
99.9, 99.9, 62, Atlhetica Nutrition, whey
186.66, 186.66, 23, Integralmedica, whey
120, 120, 2600, Sports Nutrition, whey
389, 389, 0, Optimum Nutrition, whey
45.99, 45.99, 160, Max Titanium, whey
71.8, 71.8, 269, Probiotica, whey
149.9, 149.9, 27, Integralmedica, whey
103.9, 103.9, 24, Atlhetica Nutrition, whey
474.9, 474.9, 66, Optimum Nutrition, whey
107, 107, 3, Synthesize, whey
510.42, 510.42, 299, Dymatize, whey
131.99, 131.99, 18, Integralmedica, whey
179.99, 179.99, 61, Max Titanium, whey
350, 350, 134, Optimum Nutrition, whey
444, 444, 1, Atlhetica Nutrition, whey
72.6, 72.6, 90, Probiotica, whey
182.24, 182.24, 237, Integralmedica, whey
99, 99, 0, Sem Marca, whey
99, 99, 50, Sem Marca, whey
181.45, 181.45, 102, Optimum Nutrition, whey
89.99, 89.99, 312, Max Titanium, whey
59.99, 59.99, 30, Atlhetica Nutrition, whey
120, 120, 45, Integralmedica, whey
433.07, 249.8, 62, Black Skull, whey
394.99, 394.99, 3, Optimum Nutrition, whey
100, 100, 0, Sem Marca, whey
120, 120, 46, Integralmedica, whey
134.89, 134.89, 33, Atlhetica Nutrition, whey
141, 141, 20, Max Titanium, whey
418, 244, 79, Black Skull, whey
219, 219, 182, Optimum Nutrition, whey
80.92, 80.92, 48, Integralmedica, whey
169.8, 169.8, 415, Probiotica, whey
74.5, 74.5, 32, Atlhetica Nutrition, whey
179, 179, 1, Sem Marca, whey
358.01, 358.01, 142, Optimum Nutrition, whey
145, 145, 75, Max Titanium, whey
154.9, 154.9, 1, Integralmedica, whey
120, 120, 1, Sem Marca, whey
119.9, 119.9, 37, Atlhetica Nutrition, whey
104.9, 104.9, 5, Optimum Nutrition, whey
120, 120, 54, Integralmedica, whey
159, 159, 2, Sem Marca, whey
95, 95, 126, Max Titanium, whey
129.99, 129.99, 149, Sem Marca, whey
200.17, 200.17, 78, Black Skull, whey
299.9, 299.9, 45, Integralmedica, whey
91.89, 91.89, 76, Optimum Nutrition, whey
157.9, 157.9, 24, Atlhetica Nutrition, whey
100, 100, 0, Sem Marca, whey
108.8, 108.8, 95, BodyAction, whey
146.9, 146.9, 19, Integralmedica, whey
234.12, 234.12, 61, Optimum Nutrition, whey
199.66, 199.66, 77, Max Titanium, whey
147, 147, 31, Atlhetica Nutrition, whey
169.4, 169.4, 194, Probiotica, whey
189.9, 189.9, 15, Integralmedica, whey
359.9, 359.9, 84, Optimum Nutrition, whey
199, 129.9, 762, Integralmedica, bcaa
40.6, 24.5, 369, Atlhetica Nutrition, bcaa
16.79, 16.79, 2198, Atlhetica Nutrition, bcaa
22.8, 22.8, 1992, Atlhetica Nutrition, bcaa
47.9, 47.9, 1269, Atlhetica Nutrition, bcaa
107.22, 107.22, 721, Integralmedica, bcaa
24, 13.9, 675, Atlhetica Nutrition, bcaa
14.9, 14.9, 285, Atlhetica Nutrition, bcaa
79.9, 79.9, 1188, Atlhetica Nutrition, bcaa
128.61, 128.61, 938, Max Titanium, bcaa
22.8, 22.8, 1148, Atlhetica Nutrition, bcaa
77, 77, 977, Max Titanium, bcaa
47.9, 47.9, 196, Atlhetica Nutrition, bcaa
138.9, 138.9, 278, Mais Nutrition, bcaa
